session_id,frame_idx,timestamp,dist_raw,dist_norm,velocity,accel,hand_conf,label
replay1,156,5.5028,201.1901,0.706418,0.0,0.0,0.9839,0
replay1,157,5.5678,178.4097,0.608635,-0.097782,0.0,0.9864,0
replay1,158,5.5991,180.474,0.618586,0.00995,0.107733,0.9883,0
replay1,159,5.6319,169.8848,0.588386,-0.0302,-0.04015,0.9914,0
replay1,160,5.6884,177.5051,0.680912,0.092526,0.122725,0.996,0
replay1,161,5.7307,173.4569,0.665558,-0.015353,-0.107879,0.988,0
replay1,162,5.764,179.3659,0.672957,0.007398,0.022751,0.9853,0
replay1,163,5.7977,196.3401,0.709177,0.03622,0.028822,0.9875,0
replay1,164,5.8301,199.5127,0.759951,0.050774,0.014554,0.9887,0
replay1,165,5.8658,215.4992,0.794613,0.034662,-0.016113,0.9849,0
replay1,166,5.8961,230.5152,0.835626,0.041013,0.006351,0.9821,0
replay1,167,5.9308,229.207,0.831754,-0.003872,-0.044885,0.9868,0
replay1,168,5.9653,227.4761,0.824746,-0.007008,-0.003136,0.9876,0
replay1,169,5.9972,232.484,0.810635,-0.014111,-0.007103,0.9807,0
replay1,170,6.0303,232.033,0.818422,0.007786,0.021897,0.9852,0
replay1,171,6.062,236.6743,0.847652,0.029231,0.021444,0.9872,0
replay1,172,6.0964,233.228,0.841114,-0.006538,-0.035769,0.988,0
replay1,173,6.1298,228.4692,0.816577,-0.024538,-0.018,0.985,0
replay1,174,6.1623,225.6435,0.83226,0.015683,0.04022,0.9848,0
replay1,175,6.1978,223.7295,0.817899,-0.014361,-0.030043,0.9863,0
replay1,176,6.2296,221.4546,0.82903,0.011131,0.025491,0.9835,0
replay1,177,6.2643,219.3344,0.830609,0.00158,-0.009551,0.9876,0
replay1,178,6.2958,217.7224,0.822352,-0.008257,-0.009837,0.9882,0
replay1,179,6.3308,219.3427,0.820651,-0.001701,0.006557,0.9861,0
replay1,180,6.3633,219.42,0.82293,0.002279,0.003979,0.9869,0
replay1,181,6.3961,219.3469,0.823585,0.000655,-0.001623,0.9866,0
replay1,182,6.4313,219.9088,0.82624,0.002655,0.002,0.99,0
replay1,183,6.4625,219.5235,0.827795,0.001555,-0.0011,0.9881,0
replay1,184,6.4981,224.2116,0.836213,0.008418,0.006864,0.9858,0
replay1,185,6.5297,221.045,0.82377,-0.012443,-0.020861,0.9852,0
replay1,186,6.5642,221.392,0.825773,0.002003,0.014446,0.9855,0
replay1,187,6.5951,219.87,0.819047,-0.006726,-0.008729,0.984,0
replay1,188,6.631,219.8789,0.821191,0.002143,0.008869,0.9828,0
replay1,189,6.6634,221.549,0.82941,0.008219,0.006076,0.9867,0
replay1,190,6.6963,223.2458,0.837986,0.008576,0.000357,0.9847,0
replay1,191,6.7308,222.2201,0.836574,-0.001412,-0.009988,0.9855,0
replay1,192,6.7627,223.2303,0.834478,-0.002097,-0.000685,0.9846,0
replay1,193,6.7972,221.4834,0.826822,-0.007656,-0.005559,0.9891,0
replay1,194,6.83,223.7217,0.83039,0.003569,0.011225,0.9882,0
replay1,195,6.8637,221.9481,0.824811,-0.005579,-0.009148,0.9865,0
replay1,196,6.8973,222.4477,0.836965,0.012153,0.017732,0.9861,0
replay1,197,6.9305,220.5204,0.824644,-0.012321,-0.024474,0.987,0
replay1,198,6.9631,220.5508,0.814838,-0.009806,0.002516,0.9867,0
replay1,199,6.9981,220.0449,0.822052,0.007214,0.01702,0.988,0
replay1,200,7.0297,219.3667,0.817504,-0.004548,-0.011762,0.9871,0
replay1,201,7.0634,219.9841,0.813538,-0.003966,0.000582,0.9892,0
replay1,202,7.0975,218.0061,0.807459,-0.006079,-0.002113,0.9877,0
replay1,203,7.1304,218.9648,0.81286,0.005401,0.01148,0.9867,0
replay1,204,7.1595,219.3525,0.815744,0.002884,-0.002517,0.9874,1
replay1,205,7.1967,219.3495,0.813177,-0.002567,-0.005451,0.9869,1
replay1,206,7.2303,219.8473,0.810526,-0.002651,-8.4e-05,0.9875,1
replay1,207,7.2634,220.8203,0.811375,0.000849,0.0035,0.9866,1
replay1,208,7.2972,221.732,0.833132,0.021756,0.020907,0.9881,1
replay1,209,7.3299,196.7455,0.769629,-0.063503,-0.085259,0.9952,1
replay1,210,7.3642,76.6295,0.290459,-0.47917,-0.415667,0.998,1
replay1,211,7.3952,20.079,0.077187,-0.213271,0.265899,0.9973,1
replay1,212,7.4307,19.1688,0.07305,-0.004137,0.209134,0.9973,1
replay1,213,7.4633,20.7974,0.078063,0.005013,0.009151,0.9973,1
replay1,214,7.4974,46.1986,0.165792,0.087729,0.082715,0.9972,1
replay1,215,7.5303,114.9505,0.431477,0.265686,0.177957,0.9976,1
replay1,216,7.5637,157.0072,0.594273,0.162795,-0.10289,0.9964,1
replay1,217,7.5962,177.2019,0.682222,0.08795,-0.074846,0.9924,1
replay1,218,7.6312,174.5289,0.707031,0.024809,-0.063141,0.9931,1
replay1,219,7.6629,186.234,0.73313,0.026099,0.001291,0.9895,1
replay1,220,7.6971,181.7622,0.732239,-0.000892,-0.026991,0.9921,1
replay1,221,7.7304,180.3429,0.730362,-0.001877,-0.000985,0.9915,1
replay1,222,7.7525,183.3361,0.749466,0.019104,0.020981,0.9921,0
replay1,223,7.7968,184.6817,0.746158,-0.003308,-0.022412,0.9919,0
